age,workclass,fnlwgt,capital-gain
50, Private,175029,0
34, Self-emp-inc,34848,0
45, Private,411273,0
73, Local-gov,143437,0
34, Private,357145,0
31, Private,236861,0
19, Private,53355,0
25, Private,29106,0
38, Federal-gov,213274,6497
39, Private,22463,0
23, Private,180497,0
49, Private,37306,0
33, Federal-gov,137814,0
21, Private,447488,0
31, Private,220915,0
23, Private,42251,0
34, Private,162312,0
25, Private,77698,0
39, Private,282951,0
52, Self-emp-inc,311259,0
63, Local-gov,65479,7688
41, Private,277256,0
46, Private,312088,15024
53, Local-gov,169719,0
25, ?,270276,1055
77, ?,172744,0
18, Private,96869,0
38, Private,237943,0
55, Private,119751,0
34, Private,236861,0
80, Self-emp-not-inc,201092,0
34, Private,147215,0
52, Private,152373,5013
42, Private,227968,0
26, Private,362617,0
31, Private,103435,0
25, Local-gov,281412,0
55, Self-emp-not-inc,105239,0
19, Private,230165,0
62, Self-emp-not-inc,177493,0
22, Federal-gov,104443,0
39, ?,110342,0
35, Private,143385,0
28, Private,107189,0
47, Private,212944,0
44, State-gov,138634,0
21, Private,99970,0
35, Private,203717,0
24, Private,313956,0
42, Federal-gov,177937,0
28, Private,193868,0
21, Private,250939,0
62, Federal-gov,57629,4650
39, Private,281768,0
30, State-gov,260782,0
72, Self-emp-not-inc,243769,0
50, Private,109937,0
28, Local-gov,134890,0
29, Private,100293,0
26, Private,132179,0
27, Private,116372,0
29, Private,255412,3103
61, ?,195789,0
29, Private,342400,0
21, ?,65481,0
31, Private,169085,0
25, Private,177221,0
58, Private,65325,0
64, Private,118944,0
46, State-gov,149337,0
53, ?,237868,0
19, Private,106183,0
42, Private,226388,0
18, Private,220754,0
58, Self-emp-inc,204021,15024
20, Private,347391,0
35, Federal-gov,413930,0
32, Private,174201,0
23, Private,145917,0
31, Private,241797,0
33, Private,265168,0
41, Private,171234,0
22, Private,178452,0
46, Private,157857,0
61, Federal-gov,512864,0
30, Private,296462,0
42, Private,171615,0
63, Private,214071,0
26, Private,172421,0
42, Private,195488,0
23, Private,316841,0
25, Private,236267,0
30, Private,236543,0
23, Private,318483,0
34, Self-emp-not-inc,163756,27828
30, Private,238186,0
39, Private,329980,0
30, Private,169269,0
38, Local-gov,34744,0
26, Private,98114,0
20, Private,109667,0
37, Local-gov,263690,0
33, Private,147430,0
24, Private,224238,0
42, Self-emp-inc,212894,0
51, Self-emp-not-inc,136708,3103
56, Local-gov,38573,0
22, Private,197200,0
52, Self-emp-not-inc,182796,0
44, Private,184527,4934
34, Private,145231,4064
51, Private,43354,0
20, ?,318865,0
19, Private,355712,0
37, Private,98776,0
68, Private,257557,0
22, Private,102258,0
56, Self-emp-inc,170287,0
37, Private,243409,0
52, Private,55608,0
26, Private,248057,0
33, Private,95530,0
45, Local-gov,54038,0
18, Private,161245,0
43, Self-emp-not-inc,388725,0
64, Self-emp-not-inc,71807,15024
18, Private,228216,0
20, ?,303121,0
57, Private,78020,0
41, Private,249254,3674
34, Private,87218,0
19, Private,304299,0
44, Private,196234,0
56, Private,197875,0
36, Self-emp-inc,48063,0
48, Private,253596,0
29, Private,39257,0
33, Private,56150,2174
31, Private,179415,0
39, Private,252445,0
66, Private,275918,10605
27, Private,106562,0
39, Private,198654,99999
59, Private,107318,5178
26, Private,181896,0
31, Private,106014,0
45, ?,319993,0
23, Private,197997,0
36, Local-gov,173542,0
34, Private,207564,0
32, Private,224462,0
37, Private,123361,0
33, Private,90409,0
50, Self-emp-not-inc,165001,99999
32, Federal-gov,149573,0
35, Private,249456,0
37, Private,149898,0
44, Private,292985,0
57, Private,50223,0
29, Local-gov,400074,0
55, Private,197399,0
43, Self-emp-inc,209547,0
43, Private,52433,0
45, Self-emp-not-inc,355978,0
33, Self-emp-not-inc,48214,0
26, Private,190873,0
23, Private,278390,0
41, Private,203217,0
24, Private,279175,0
47, Self-emp-not-inc,194590,0
34, Self-emp-not-inc,198813,0
40, Private,187294,0
28, Private,302903,0
24, Private,154835,0
73, ?,73402,0
23, Private,100345,0
43, Self-emp-not-inc,126320,0
26, Private,142226,0
58, Self-emp-not-inc,112076,0
52, Private,225339,0
29, Private,211208,0
47, Private,200808,0
49, Private,220618,0
40, Private,210493,0
62, Self-emp-not-inc,369734,0
49, Private,27898,0
50, Private,138193,0
31, Private,224234,0
48, Local-gov,188741,0
24, Private,183772,0
41, ?,155041,3418
37, Private,79586,0
45, Private,355781,0
63, ?,156158,0
36, Private,116358,0
45, Private,59287,0
41, Private,138868,0
26, Private,185885,0
17, Private,40299,0
27, Private,500068,0
43, Private,51494,0
35, Private,179481,0
38, Private,365907,0
26, Private,284343,0
28, Private,204862,0
38, Private,272476,0
36, Private,175130,0
33, Private,118941,0
19, Private,164339,1055
22, ?,213291,0
42, Federal-gov,55457,0
50, Private,280292,0
30, Private,446894,0
37, State-gov,67083,0
54, Self-emp-inc,159219,99999
52, Self-emp-inc,168539,0
65, Private,88145,0
33, Private,150309,0
25, Private,122999,0
24, Private,302195,0
26, Private,210982,114
39, Private,177140,0
59, Private,113838,0
29, Private,97165,0
47, Private,104301,0
23, ?,192028,0
64, Self-emp-inc,115931,0
21, Private,147280,0
32, Private,185433,0
26, Private,599057,0
19, ?,50626,0
62, Self-emp-not-inc,71467,0
32, Private,183977,0
75, ?,26586,0
45, Self-emp-not-inc,196858,0
31, Private,160594,0
18, Private,42857,0
44, Private,118059,0
40, Private,169262,3411
27, Private,95108,0
23, Private,161092,0
21, Private,345253,2174
37, State-gov,111275,0
65, Self-emp-not-inc,178878,0
43, Federal-gov,157237,0
45, Private,155664,0
24, State-gov,322658,0
24, Private,208503,0
19, Local-gov,223326,0
37, Private,20308,0
24, Private,124751,0
34, Private,113364,0
50, State-gov,196900,0
36, Private,168170,0
39, Private,205338,0
44, Self-emp-not-inc,98806,0
45, State-gov,226452,0
32, State-gov,479179,0
47, Federal-gov,471990,0
50, Private,44728,0
32, Private,33117,0
19, Private,264876,0
19, ?,47235,0
28, State-gov,293628,0
28, Private,193122,0
39, Federal-gov,149347,0
21, Private,129172,2907
73, Self-emp-not-inc,151255,0
39, Private,98886,4508
25, Private,238673,0
31, Private,137991,0
51, Private,85942,0
39, Private,85783,0
31, Private,174789,0
21, Private,457162,0
46, Private,176026,27828
73, Private,88594,0
41, Private,311101,0
20, Private,273989,0
27, Private,370242,0
24, Private,194630,0
20, Private,313817,0
39, Private,195843,0
27, Private,203160,0
33, Private,175856,0
33, Private,75435,0
36, State-gov,291676,0
55, Private,192869,0
19, Private,124464,0
35, Private,98776,0
34, Private,107960,0
62, State-gov,312286,0
33, Self-emp-not-inc,48520,0
39, Private,224541,4386
36, Local-gov,237713,0
41, Private,309990,0
39, Self-emp-not-inc,37019,0
38, ?,48976,0
18, Private,170183,0
61, Private,142988,15024
20, Federal-gov,163205,0
35, Self-emp-not-inc,455379,0
27, Private,104423,0
66, Private,104936,0
21, Private,542610,0
20, Private,208117,0
34, Private,105141,0
63, Private,156120,0
20, ?,38455,0
31, Private,213339,0
41, Private,177989,0
64, State-gov,107732,0
32, Private,312403,0
30, Local-gov,176992,0
36, Self-emp-not-inc,84294,0
22, Private,143062,0
53, Local-gov,139671,0
50, Private,116814,0
36, Private,37778,0
41, Self-emp-inc,240900,0
55, Private,202652,0
38, Private,52187,15024
28, Private,349751,2174
24, Local-gov,238384,0
60, Private,209844,0
54, Private,333301,0
27, Self-emp-inc,214974,0
30, Private,113453,0
54, Private,162238,0
44, Private,98779,5178
52, Private,165001,0
18, Private,78528,0
55, Private,353881,0
35, Private,251396,0
37, Private,178100,0
22, Private,416165,0
45, Private,177536,0
38, Private,203717,0
48, Private,107231,0
35, Private,106448,0
21, Private,196816,0
37, Self-emp-not-inc,191342,0
18, Private,170194,0
26, Private,113587,0
48, Self-emp-inc,72425,0
51, Private,217480,8614
52, Private,120914,0
32, State-gov,33945,0
39, Self-emp-not-inc,199753,0
51, Private,144284,0
54, Private,53833,0
21, Private,151158,0
43, Private,125577,0
32, Private,242323,0
31, State-gov,195181,0
73, ?,145748,0
26, Private,341672,0
35, Private,116369,0
73, Private,113446,0
25, Self-emp-not-inc,121285,0
58, Self-emp-not-inc,25124,0
32, Private,182274,0
28, Private,103548,0
41, Self-emp-not-inc,38434,0
53, Self-emp-not-inc,317313,0
49, Private,177543,0
55, Private,139834,0
29, Private,118478,7298
28, Self-emp-not-inc,147951,0
44, Private,201734,0
41, Private,198196,0
26, Private,141876,3103
23, Private,325179,0
37, Self-emp-not-inc,143774,0
23, Private,152328,13550
33, Private,479600,0
44, Private,180599,0
21, Private,448026,2907
36, Private,300333,0
44, Local-gov,184105,5013
23, Private,202084,0
26, Private,29515,0
32, Private,247328,0
31, Private,188246,0
50, Local-gov,105788,6497
18, Self-emp-inc,352640,0
49, Private,132576,0
59, Private,128829,0
38, Private,93140,0
50, Self-emp-inc,155965,0
51, Self-emp-inc,335902,0
22, Private,158522,0
54, Private,174806,0
37, Private,32207,0
31, Private,43607,0
67, State-gov,168224,0
43, ?,180318,0
21, Private,311376,0
30, Private,101562,0
32, Local-gov,267859,0
36, Private,86143,0
33, Local-gov,217304,0
37, Private,410034,0
29, Private,293073,7298
18, ?,39493,0
26, Private,247425,0
51, Private,128338,0
39, Private,189344,0
18, Private,366154,0
52, Private,163051,0
31, Private,437200,0
45, Private,323798,7298
38, Private,182570,0
21, Private,200318,0
33, Private,48520,0
39, Private,130007,0
31, Private,166248,0
43, Private,203554,0
64, ?,192715,0
33, Self-emp-inc,291333,7298
49, Self-emp-not-inc,39140,0
41, Private,266439,0
55, Self-emp-not-inc,126840,0
52, Private,166419,0
42, Private,287129,0
24, Private,206827,0
42, Private,173888,0
41, State-gov,253250,7298
35, Private,337239,0
71, ?,113445,0
54, Federal-gov,201127,0
24, Private,403107,0
59, ?,179078,0
30, ?,126402,0
57, Federal-gov,223892,0
58, State-gov,191318,15024
32, Private,394708,0
22, Private,119474,1055
20, Private,419984,0
60, ?,164730,0
51, Private,190678,0
26, Local-gov,197897,0
33, Private,286675,0
19, Private,191986,0
50, Self-emp-not-inc,90525,15024
32, Private,56150,0
51, Local-gov,248327,0
18, Private,90860,0
35, Federal-gov,104858,0
22, ?,228686,0
46, Private,196707,0
37, Private,29430,0
45, Private,54038,0
63, Private,281025,0
53, Private,258832,0
24, Private,131220,0
65, ?,190454,0
43, Private,315971,0
47, Private,265097,0
41, Private,185057,0
27, Private,169557,6849
35, Self-emp-inc,333636,0
19, Private,181652,0
47, Private,34307,0
25, Federal-gov,198813,0
59, Local-gov,240030,0
28, Private,226089,0
17, Private,190941,0
21, Private,160261,2463
31, Private,208458,0
49, Private,112761,0
48, Local-gov,67716,7688
60, Self-emp-not-inc,121076,0
33, Self-emp-not-inc,182556,0
40, Private,231348,0
42, Private,55395,0
34, Private,344073,5013
38, Federal-gov,318912,0
58, Self-emp-not-inc,237546,0
20, Private,346341,0
52, Private,305090,0
22, Local-gov,198478,0
24, Private,321435,0
39, Private,259716,0
41, Private,191547,99999
37, ?,171482,0
56, Private,225927,2580
21, Private,256504,0
29, Private,168526,0
45, Private,44489,0
44, Local-gov,159449,0
54, Private,387540,0
24, Private,314819,2174
40, Private,34722,0
43, State-gov,125831,99999
20, ?,239805,0
41, Self-emp-not-inc,264663,0
32, Private,294121,0
31, Private,83912,0
26, Private,241626,0
50, State-gov,137815,0
62, Self-emp-inc,153891,3137
24, Private,83774,2885
58, Private,199067,0
44, Self-emp-inc,57233,0
44, Private,211517,0
37, Self-emp-inc,132879,0
65, Self-emp-not-inc,72776,2964
33, Private,54318,0
34, ?,143582,0
56, Self-emp-not-inc,174564,0
35, Private,179579,0
33, Private,187618,0
35, Private,186819,0
47, Self-emp-not-inc,60087,0
35, Self-emp-not-inc,28987,0
56, Private,187355,0
29, Self-emp-inc,218555,0
53, Self-emp-inc,94214,7298
42, Private,204729,0
20, ?,281668,0
24, Private,236696,0
33, Private,179747,0
42, Private,187322,0
38, State-gov,116975,0
32, Private,205950,0
20, Self-emp-not-inc,190968,0
32, Private,160458,0
28, Local-gov,190911,0
51, Private,85382,0
41, Local-gov,129793,0
37, Local-gov,270181,0
23, Private,243723,0
40, Private,168113,0
47, Private,652784,0
46, Self-emp-not-inc,315984,0
24, Private,311311,0
40, Private,111336,0
30, Self-emp-not-inc,100252,0
41, State-gov,186990,0
37, State-gov,241633,0
49, Federal-gov,252616,0
41, Federal-gov,46366,0
52, Local-gov,266138,0
23, Private,32732,0
34, Private,361978,1471
25, State-gov,77661,0
44, Self-emp-inc,60087,0
31, Local-gov,197550,0
53, Private,170701,0
62, Private,159822,0
35, Private,211494,0
30, Federal-gov,340899,0
48, State-gov,224752,0
36, Private,102568,0
32, Private,220690,0
22, Private,303170,0
17, ?,143331,0
19, Private,192162,0
26, Private,201635,0
20, ?,55263,0
56, State-gov,133728,0
45, Private,347025,0
23, Private,110998,0
31, Private,122347,0
30, Private,127875,0
42, Private,167534,5013
27, State-gov,152560,0
37, Private,265144,0
31, Private,302679,0
33, Private,290763,0
64, Private,86837,0
32, Private,147118,0
62, ?,103575,5178
37, Private,169469,0
25, Private,189334,0
49, Private,139571,4064
36, Private,111545,0
67, Private,72776,10566
54, Private,307973,0
45, Local-gov,211666,0
30, Private,143766,0
39, State-gov,112812,0
57, Private,43290,0
57, Private,111385,0
23, Self-emp-not-inc,145744,0
49, Local-gov,126754,0
46, State-gov,54260,0
41, State-gov,34895,0
44, Private,166740,0
25, Private,143062,2463
34, Local-gov,191957,0
24, Private,109456,0
32, Private,198183,0
27, Local-gov,157449,0
67, Private,53874,0
36, Private,191754,0
40, Private,320071,0
24, Private,164574,0
46, Private,185870,0
44, State-gov,165745,0
23, Self-emp-not-inc,40323,0
46, Private,199378,0
31, Private,289889,0
21, Local-gov,152200,0
61, Private,198231,0
71, Self-emp-not-inc,28865,0
42, Private,26915,0
27, ?,108926,0
21, State-gov,204034,0
21, Private,243368,0
28, Local-gov,191088,2354
27, Local-gov,194515,0
32, Private,28984,0
47, Private,125892,0
22, Private,37932,0
56, Private,249751,0
20, Private,191948,0
30, Private,97306,0
22, Private,176178,0
28, Private,142764,7688
50, Private,148431,0
66, State-gov,148380,1424
38, Private,314890,0
62, Private,177493,0
36, Federal-gov,327435,0
47, Private,275967,0
25, Private,176520,0
26, Private,186463,0
37, Private,50380,0
70, Self-emp-not-inc,323987,0
52, Private,192445,0
70, Private,142851,0
19, State-gov,42750,0
23, Private,199011,0
37, Private,98644,0
37, Private,173963,0
45, State-gov,284763,0
29, Private,108775,0
56, Self-emp-not-inc,233312,0
50, Private,197826,0
20, Private,123007,0
26, Private,264012,0
41, Self-emp-inc,214247,0
21, Private,200121,0
48, Self-emp-not-inc,138069,0
22, Private,33551,0
37, State-gov,89083,0
47, Private,369438,0
61, Private,93997,0
47, Local-gov,169699,0
37, Private,115429,0
46, State-gov,96652,0
42, Self-emp-not-inc,103759,0
41, Private,54422,0
33, Local-gov,107215,0
24, Private,194630,0
27, Private,102142,0
40, Federal-gov,134638,0
56, Private,46920,0
35, Federal-gov,207973,0
24, Private,208946,0
73, Self-emp-not-inc,252431,0
36, Private,251730,0
31, Private,301251,0
50, ?,137632,0
36, Private,197274,0
37, Private,106043,0
26, Private,195636,0
20, Private,237956,0
58, Private,31532,0
45, State-gov,276157,0
33, ?,207668,0
31, Private,142921,0
44, Private,217039,99999
19, Local-gov,259169,0
54, Private,409173,0
31, State-gov,73161,0
27, Private,241431,0
36, Private,151764,5178
47, Federal-gov,131726,0
35, Private,334291,0
42, Private,67243,0
45, Private,370261,0
70, Private,573446,1455
27, Local-gov,189775,0
36, Private,312206,0
23, Private,86939,0
25, Private,221757,0
45, Self-emp-not-inc,213140,7688
24, Private,308673,0
90, Private,149069,0
50, Private,69345,0
37, Private,112158,7688
31, Private,386299,0
17, Private,61838,0
26, Private,290286,0
41, Private,143069,0
50, Self-emp-inc,145714,0
45, Self-emp-not-inc,285570,0
54, Self-emp-not-inc,399705,0
54, Private,186224,0
38, Private,172918,0
22, Private,198270,0
43, Private,307767,0
19, ?,208630,0
30, Private,169002,0
31, ?,186369,0
42, Private,99203,3325
48, Private,197836,0
56, Private,140136,0
21, Local-gov,402230,0
45, Private,167159,0
37, Private,116409,0
38, Local-gov,105161,0
34, Private,263908,0
29, Private,189565,0
24, Private,224059,0
79, ?,27457,0
35, Private,240988,0
39, Self-emp-not-inc,41017,0
73, Self-emp-not-inc,214498,0
57, Private,186361,0
35, Self-emp-inc,165799,0
60, Private,266983,0
19, ?,165416,0
54, Private,226497,0
53, Self-emp-not-inc,99516,0
23, Private,177287,0
57, Self-emp-not-inc,27385,0
27, Self-emp-not-inc,147452,0
25, Private,144334,0
38, Private,217926,0
48, Private,153312,0
24, Private,126822,0
67, Self-emp-inc,51415,0
20, Private,171886,0
38, Private,216319,0
54, Private,279337,0
20, Self-emp-not-inc,115085,0
57, Private,453233,0
34, Federal-gov,400943,0
34, Private,226883,0
80, Private,138050,0
40, Private,204585,0
19, Local-gov,220558,0
35, Private,198841,0
21, Private,67244,0
59, Local-gov,75785,0
53, Private,85423,0
41, Self-emp-not-inc,134724,3103
59, Private,109567,0
21, ?,132053,0
52, Private,157413,0
48, Private,238567,0
24, Private,153133,0
49, Private,186256,0
19, Private,260265,0
50, Private,131819,0
39, Private,141584,0
25, Private,245121,0
66, Private,22502,0
30, Private,23778,4416
49, Private,380922,15024
40, Self-emp-not-inc,173651,0
38, Private,191137,0
25, Private,217006,0
51, State-gov,22211,0
23, Local-gov,57711,0
60, Self-emp-not-inc,123190,0
44, Private,110028,27828
53, Self-emp-not-inc,174102,25236
66, Self-emp-not-inc,183249,0
18, ?,240183,0
44, Local-gov,49665,0
38, Private,210438,0
30, Private,53373,0
36, Private,295706,3674
38, Local-gov,273457,0
31, Federal-gov,165949,0
26, Private,142152,0
23, Private,189203,0
58, State-gov,179089,0
44, Self-emp-not-inc,53956,3137
59, Self-emp-inc,77816,99999
36, Local-gov,74593,0
42, Private,196158,8614
17, Private,28544,0
59, Local-gov,662460,0
22, Private,152328,0
40, Private,120277,0
36, Private,180278,0
19, ?,426589,0
49, Private,111558,0
18, ?,243203,0
38, Self-emp-not-inc,195686,0
48, Private,226696,0
53, ?,118058,0
33, Private,172237,0
34, Self-emp-not-inc,114074,0
41, Federal-gov,171589,0
20, ?,184271,594
58, Local-gov,218724,0
52, Private,134190,0
45, Local-gov,181964,0
37, Private,385330,0
48, Private,242406,0
40, Federal-gov,107584,0
29, Private,127892,0
33, Private,160261,0
51, ?,285200,2105
48, Private,153254,0
36, Self-emp-not-inc,294672,0
31, Private,145924,0
41, Self-emp-not-inc,280005,0
29, Federal-gov,66893,0
20, Private,47039,0
53, Federal-gov,36186,7298
37, Private,159383,0
28, Private,192010,0
27, Private,216479,0
57, ?,274680,0
23, Private,211345,0
25, Private,203561,0
63, Private,170815,0
65, Self-emp-not-inc,200565,0
77, Private,89655,0
32, Private,234195,0
40, Private,98466,0
67, Private,191437,0
35, Private,77792,0
24, Local-gov,134181,0
53, State-gov,195690,0
37, Self-emp-inc,94869,4787
44, State-gov,267464,0
25, ?,257006,0
17, Private,81010,0
47, Private,54260,0
62, Federal-gov,171995,2829
39, Private,245665,0
18, ?,35855,0
32, State-gov,189838,0
25, Private,629900,0
30, Private,84119,0
47, Private,47343,0
40, Private,103614,0
38, Private,303092,0
41, State-gov,124520,0
21, Private,220857,0
32, State-gov,247481,0
54, Private,283281,0
31, Private,25610,0
42, Private,13769,0
23, Private,283969,0
18, Private,185522,0
65, ?,173309,401
37, Private,144005,0
53, State-gov,205949,0
50, Private,158948,0
64, Private,240357,0
55, Private,243929,0
63, Private,201700,7298
53, Private,208402,4865
18, Private,120599,0
33, Private,231826,0
62, Private,499971,0
56, Private,227972,15024
58, State-gov,299680,15024
33, Private,231822,0
58, Private,185459,0
44, Private,90582,0
81, Private,184615,1264
28, Private,173858,0
28, Private,132326,0
43, Private,315037,0
51, Private,175122,0
23, Private,239577,0
48, Self-emp-not-inc,96975,0
45, Self-emp-inc,61885,15024
48, Private,185870,0
37, State-gov,142282,0
34, Private,334744,0
63, Self-emp-not-inc,201600,0
38, Private,34378,0
29, Private,180271,0
33, Private,123833,0
47, Private,213304,0
30, Private,296538,0
35, Private,391937,0
54, Self-emp-inc,175339,0
26, Private,60726,6849
39, Private,191103,0
34, State-gov,32174,0
55, Private,176219,0
33, Self-emp-not-inc,294434,0
17, Private,310885,0
27, Private,171133,0
53, Private,162951,0
43, Private,223934,0
22, Private,23940,0
52, Private,88073,0
60, Private,57371,0
55, Self-emp-not-inc,73684,15024
39, Private,107164,0
29, Private,120126,0
41, Self-emp-not-inc,54611,7298
61, Private,131117,0
71, Federal-gov,101676,0
20, Private,403965,0
33, Private,177083,0
52, Private,173987,0
40, Private,352080,0
26, ?,102400,0
31, Local-gov,378426,0
42, Private,210857,7688
63, Private,165775,0
53, Private,295896,0
34, State-gov,238944,0
48, Private,149640,1506
67, ?,106175,0
49, Private,191320,0
28, Local-gov,134771,0
51, ?,295538,0
44, Private,120277,99999
27, Private,82393,0
49, Private,146121,0
34, Private,162544,0
27, Self-emp-not-inc,216178,0
38, Self-emp-not-inc,248694,0
24, Private,219140,0
29, Private,360401,0
39, Private,319962,0
50, Private,115284,0
42, Private,29702,0
63, ?,107085,0
44, State-gov,204361,0
58, Private,218312,0
25, Private,182332,0
23, Private,127876,0
20, Private,316702,0
46, Self-emp-not-inc,292549,0
21, Private,203178,0
63, Private,180099,0
38, Private,154541,4386
27, Private,95465,0
41, Private,171839,0
43, Private,115562,99999
39, State-gov,42478,0
48, ?,117054,0
56, Self-emp-inc,124137,99999
44, State-gov,107503,5013
24, Private,70261,0
49, Private,367037,4650
38, Private,258339,0
36, Self-emp-not-inc,269509,0
27, State-gov,301302,0
50, Private,369367,0
46, Private,224582,0
41, Local-gov,343591,0
45, ?,53540,0
46, Private,153536,0
65, ?,91262,0
44, Private,238574,0
35, Private,247558,0
44, Self-emp-not-inc,188278,0
51, Private,194995,0
74, Local-gov,168782,0
32, Private,287229,0
22, Private,202153,0
58, ?,230586,0
47, Private,115358,0
32, Private,78283,0
64, Federal-gov,168854,0
44, Private,222011,0
59, Private,157749,0
34, Private,203814,0
54, Private,74660,0
33, Private,292603,0
44, Private,172364,3908
31, Private,305619,0
30, State-gov,157990,0
18, Private,120243,0
56, Self-emp-not-inc,296991,0
24, Private,174845,0
23, Private,180475,0
51, Private,152652,0
24, Private,172941,0
39, Federal-gov,450770,0
49, Self-emp-not-inc,166003,0
22, ?,204935,0
42, State-gov,60949,0
51, Local-gov,181132,0
20, Private,408988,594
49, Private,169515,0
31, Private,250087,0
41, Private,208613,0
35, Private,225172,0
20, ?,125905,0
35, Private,165007,4386
46, Private,165346,0
35, Private,37655,0
21, Private,172047,0
45, Private,178530,0
37, Local-gov,347491,0
45, Self-emp-inc,208049,0
18, Private,111019,0
53, Self-emp-not-inc,163826,0
24, Local-gov,117023,0
35, Private,281982,0
28, Private,150025,0
50, Private,176215,7688
38, Private,166062,0
34, Local-gov,28568,0
53, Private,53833,0
46, Private,219967,15024
50, Private,309017,0
45, Private,353083,0
29, Private,257992,0
41, Private,283174,99999
